metric                                 base-60             flag-60
------------------------------------------------------------------
GC pass duration                 10.17 / 9.22s        0.25 / 0.11s
cache (final)                    46557 / 41154         7990 / 6359
zombies (connection)             43788 / 38378               0 / 0
------------------------------------------------------------------
lock wait p50                            4.77s               1.94s
lock wait p90                           17.92s               5.47s
lock wait p99                           38.50s              10.73s
lock wait max                           67.18s              21.87s
waits > 5s                               48.6%               12.3%
waits > 10s                              25.3%                1.3%
waits > 30s                               1320                   0
lock warnings (n)                        45857              109738
------------------------------------------------------------------
base-60      pods=30 offered=199980 done=86217 failed=1885 backlog=111158 failPct=0.94
flag-60      pods=30 offered=199980 done=199978 failed=2 backlog=0 failPct=0.00

=== base-60: per-minute ===
 min     cache   zombies    gc_sec     warns
   1     10154         0      0.01         0
   1     11138         0      0.01       163
   2     18866      5375      0.86      3252
   2     19118      5581      1.05      4860
   3     24131     15376      3.10      7065
   3     23838     14848      3.15      8251
   4     27802     21103      4.34      9660
   4     27399     20510      4.47     10791
   5     30825     26651      5.30     11800
   5     29570     27853      7.54     12463
   6     33703     31096      6.90     14115
   6     31656     29570      6.52     13934
   7     37292     33827      7.46     16792
   7     33878     31725      7.24     15741
   8     40670     37066      8.85     19234
   8     35505     33521      7.99     16884
   9     42198     39967      9.13     20506
   9     37359     35115      9.74     18473
  10     44394     42041     10.03     22165
  10     39219     36642      9.69     19940
  11     46557     43788     10.17     23779
  11     41154     38378      9.22     21325

=== flag-60: per-minute ===
 min     cache   zombies    gc_sec     warns
   1     10733         0      0.01       121
   1     10472         0      0.01        79
   2     12578         0      0.30      5168
   2     15153         0      0.20      4357
   3     12860         0      0.28     10938
   3     14717         0      0.27     10175
   4     14369         0      0.17     16931
   4     15380         0      0.21     16045
   5     15100         0      0.30     22416
   5     15875         0      0.29     21866
   6     14511         0      0.22     27827
   6     17305         0      0.21     27705
   7     15610         0      0.17     33541
   7     15879         0      0.42     33071
   8      8661         0      0.25     39773
   8      9244         0      0.18     38956
   9      9986         0      0.27     46043
   9     10346         0      0.23     44998
  10     11006         0      0.28     52522
  10     11752         0      0.35     51447
  11      7990         0      0.25     56282
  11      6359         0      0.11     53410
