minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-ndkhz 10154 10153 0 0 675m 0.006057 16912.000000
1 cilium-t9spl 11138 11137 0 163 609m 0.006767 16820.000000
2 cilium-ndkhz 18866 13490 5375 3252 1305m 0.863369 22273.000000
2 cilium-t9spl 19118 13536 5581 4860 1329m 1.046094 22387.000000
3 cilium-ndkhz 24131 8754 15376 7065 1229m 3.097991 37635.000000
3 cilium-t9spl 23838 8989 14848 8251 1225m 3.149462 37221.000000
4 cilium-ndkhz 27802 6698 21103 9660 1259m 4.337124 58724.000000
4 cilium-t9spl 27399 6888 20510 10791 1264m 4.465305 57717.000000
5 cilium-ndkhz 30825 4173 26651 11800 1151m 5.297775 84408.000000
5 cilium-t9spl 29570 1716 27853 12463 1133m 7.538644 110594.000000
6 cilium-ndkhz 33703 2606 31096 14115 1152m 6.904801 144029.000000
6 cilium-t9spl 31656 2085 29570 13934 1199m 6.518620 140150.000000
7 cilium-ndkhz 37292 3464 33827 16792 1198m 7.459065 177842.000000
7 cilium-t9spl 33878 2152 31725 15741 1185m 7.240002 171861.000000
8 cilium-ndkhz 40670 3603 37066 19234 1194m 8.847897 214894.000000
8 cilium-t9spl 35505 1983 33521 16884 1202m 7.987626 205368.000000
9 cilium-ndkhz 42198 2230 39967 20506 1223m 9.126577 254847.000000
9 cilium-t9spl 37359 2243 35115 18473 1192m 9.741251 240469.000000
10 cilium-ndkhz 44394 2352 42041 22165 1201m 10.032034 296874.000000
10 cilium-t9spl 39219 2576 36642 19940 1164m 9.690196 277097.000000
11 cilium-ndkhz 46557 2768 43788 23779 1188m 10.165001 340648.000000
11 cilium-t9spl 41154 2775 38378 21325 1197m 9.221408 315461.000000
