minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-82wb4 11890 11889 0 151 1052m 0.015886 54846.000000
1 cilium-wl7l8 1 0 0 0 58m 0.000047 58377.000000
2 cilium-82wb4 18711 8269 10441 432 1327m 13.111795 65287.000000
2 cilium-wl7l8 1 0 0 0 76m 0.000064 58377.000000
3 cilium-82wb4 21882 4992 16889 817 1281m 19.494841 82176.000000
3 cilium-wl7l8 1 0 0 0 68m 0.000030 58377.000000
4 cilium-82wb4 24439 3724 20714 1144 1477m 17.556676 102890.000000
4 cilium-wl7l8 1 0 0 0 62m 0.000085 58377.000000
5 cilium-82wb4 26471 3221 23249 1495 1465m 13.978370 126139.000000
5 cilium-wl7l8 1 0 0 0 59m 0.000063 58377.000000
6 cilium-82wb4 28258 3063 25194 1818 1354m 12.415929 151333.000000
6 cilium-wl7l8 1 0 0 0 58m 0.000028 58377.000000
7 cilium-82wb4 30300 2970 27329 2123 1412m 15.770084 178662.000000
7 cilium-wl7l8 1 0 0 0 63m 0.000061 58377.000000
8 cilium-82wb4 32202 3137 29064 2417 1343m 18.289214 207726.000000
8 cilium-wl7l8 1 0 0 0 62m 0.000054 58377.000000
9 cilium-82wb4 33582 2763 30818 2683 1254m 16.416425 238544.000000
9 cilium-wl7l8 1 0 0 0 57m 0.000038 58377.000000
10 cilium-82wb4 34936 2402 32533 2977 1527m 17.922050 271077.000000
10 cilium-wl7l8 1 0 0 0 57m 0.000056 58377.000000
11 cilium-82wb4 36579 2754 33824 3286 1399m 15.410107 304901.000000
11 cilium-wl7l8 1 0 0 0 54m 0.000031 58377.000000
