minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-bqld7 10733 10732 0 121 267m 0.007307 46922.000000
1 cilium-wnxdw 10472 10471 0 79 334m 0.007892 53730.000000
2 cilium-bqld7 12578 12577 0 5168 1339m 0.302214 53653.000000
2 cilium-wnxdw 15153 15152 0 4357 1290m 0.202177 59607.000000
3 cilium-bqld7 12860 12859 0 10938 1282m 0.283508 62662.000000
3 cilium-wnxdw 14717 14716 0 10175 1269m 0.267425 69300.000000
4 cilium-bqld7 14369 14368 0 16931 1253m 0.170520 70777.000000
4 cilium-wnxdw 15380 15379 0 16045 1265m 0.208469 77944.000000
5 cilium-bqld7 15100 15099 0 22416 1252m 0.304104 78829.000000
5 cilium-wnxdw 15875 15874 0 21866 1266m 0.289798 86705.000000
6 cilium-bqld7 14511 14510 0 27827 1262m 0.223373 87970.000000
6 cilium-wnxdw 17305 17304 0 27705 1252m 0.210218 94934.000000
7 cilium-bqld7 15610 15609 0 33541 1262m 0.171954 95498.000000
7 cilium-wnxdw 15879 15878 0 33071 1253m 0.421485 113493.000000
8 cilium-bqld7 8661 8660 0 39773 1268m 0.249447 111840.000000
8 cilium-wnxdw 9244 9243 0 38956 1267m 0.184991 120607.000000
9 cilium-bqld7 9986 9985 0 46043 1249m 0.267812 120716.000000
9 cilium-wnxdw 10346 10345 0 44998 1258m 0.232998 129308.000000
10 cilium-bqld7 11006 11005 0 52522 1250m 0.283781 130136.000000
10 cilium-wnxdw 11752 11751 0 51447 1246m 0.350035 138301.000000
11 cilium-bqld7 7990 7989 0 56282 1244m 0.246834 138922.000000
11 cilium-wnxdw 6359 6358 0 53410 1248m 0.106737 147363.000000
