minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-5xg2q 13204 13203 0 2694 455m 0.010040 13161.000000
1 cilium-dhjkv 1 0 0 0 69m 0.000048 13167.000000
2 cilium-5xg2q 19928 8653 11274 5830 1252m 13.776475 24445.000000
2 cilium-dhjkv 1 0 0 0 96m 0.000088 13167.000000
3 cilium-5xg2q 25736 8624 17111 8628 1496m 18.593310 41566.000000
3 cilium-dhjkv 1 0 0 0 83m 0.000088 13167.000000
4 cilium-5xg2q 31285 7805 23479 11447 1566m 32.528611 65055.000000
4 cilium-dhjkv 1 0 0 0 71m 0.000105 13167.000000
5 cilium-5xg2q 33750 5296 28453 13193 1625m 28.469139 93518.000000
5 cilium-dhjkv 1 0 0 0 72m 0.000058 13167.000000
6 cilium-5xg2q 36699 4466 32232 14801 1654m 28.428355 125760.000000
6 cilium-dhjkv 1 0 0 0 68m 0.000078 13167.000000
7 cilium-5xg2q 39427 4269 35157 16459 1603m 26.554805 160927.000000
7 cilium-dhjkv 1 0 0 0 63m 0.000083 13167.000000
8 cilium-5xg2q 42321 4913 37407 18065 1528m 26.160911 198344.000000
8 cilium-dhjkv 1 0 0 0 65m 0.000029 13167.000000
9 cilium-5xg2q 44620 4133 40486 19513 1676m 33.131811 238840.000000
9 cilium-dhjkv 1 0 0 0 66m 0.000098 13167.000000
10 cilium-5xg2q 46511 3820 42690 20754 1543m 26.789279 281538.000000
10 cilium-dhjkv 1 0 0 0 61m 0.000123 13167.000000
11 cilium-5xg2q 46221 925 45295 21514 1666m 28.392991 326604.000000
11 cilium-dhjkv 1 0 0 0 65m 0.000073 13167.000000
