minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-4f75l 13074 13073 0 225 837m 0.012345 0.000000
1 cilium-l7sp6 1 0 0 0 103m 0.000094 43488.000000
2 cilium-4f75l 19178 10306 8871 686 1372m 8.751238 8881.000000
2 cilium-l7sp6 1 0 0 0 89m 0.000112 43488.000000
3 cilium-4f75l 23689 7632 16056 1133 1331m 20.051175 24947.000000
3 cilium-l7sp6 1 0 0 0 77m 0.000091 43488.000000
4 cilium-4f75l 26894 5806 21087 1646 1537m 20.657784 46044.000000
4 cilium-l7sp6 1 0 0 0 69m 0.000058 43488.000000
5 cilium-4f75l 29731 5004 24726 2082 1534m 18.811578 70780.000000
5 cilium-l7sp6 1 0 0 0 67m 0.000044 43488.000000
6 cilium-4f75l 32171 4457 27713 2503 1428m 18.888687 98503.000000
6 cilium-l7sp6 1 0 0 0 66m 0.000110 43488.000000
7 cilium-4f75l 34380 3929 30450 2894 1514m 22.916921 128963.000000
7 cilium-l7sp6 1 0 0 0 70m 0.000142 43488.000000
8 cilium-4f75l 36535 4019 32515 3253 1471m 18.928007 161488.000000
8 cilium-l7sp6 1 0 0 0 66m 0.000097 43488.000000
9 cilium-4f75l 36699 1801 34897 3659 1539m 19.841397 196101.000000
9 cilium-l7sp6 1 0 0 0 59m 0.000036 43488.000000
10 cilium-4f75l 40189 2440 37748 4050 1382m 23.441174 232773.000000
10 cilium-l7sp6 1 0 0 0 63m 0.000033 43488.000000
11 cilium-4f75l 42188 1874 40313 4397 1497m 20.106224 271045.000000
11 cilium-l7sp6 1 0 0 0 60m 0.000067 43488.000000
