minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-dvtq9 16727 16726 0 2517 174m 0.016950 18457.000000
1 cilium-v5579 1 0 0 0 67m 0.000116 8472.000000
2 cilium-dvtq9 12675 12674 0 6366 1329m 0.377378 32217.000000
2 cilium-v5579 1 0 0 0 98m 0.000053 8472.000000
3 cilium-dvtq9 15602 15601 0 10547 1240m 0.233807 41024.000000
3 cilium-v5579 1 0 0 0 81m 0.000051 8472.000000
4 cilium-dvtq9 11768 11767 0 13958 1258m 0.206462 52485.000000
4 cilium-v5579 1 0 0 0 85m 0.000079 8472.000000
5 cilium-dvtq9 12708 12707 0 17927 1270m 0.189705 61091.000000
5 cilium-v5579 1 0 0 0 82m 0.000058 8472.000000
6 cilium-dvtq9 13455 13454 0 22058 1273m 0.197374 70353.000000
6 cilium-v5579 1 0 0 0 81m 0.000032 8472.000000
7 cilium-dvtq9 13840 13839 0 25694 1270m 0.160345 77884.000000
7 cilium-v5579 1 0 0 0 78m 0.000055 8472.000000
8 cilium-dvtq9 13534 13533 0 29406 1283m 0.207391 86936.000000
8 cilium-v5579 1 0 0 0 79m 0.000048 8472.000000
9 cilium-dvtq9 14658 14657 0 33081 1263m 0.137135 94038.000000
9 cilium-v5579 1 0 0 0 84m 0.000094 8472.000000
10 cilium-dvtq9 15593 15592 0 36996 1278m 0.169249 102195.000000
10 cilium-v5579 1 0 0 0 84m 0.000051 8472.000000
11 cilium-dvtq9 13791 13790 0 40389 1267m 0.193772 111207.000000
11 cilium-v5579 1 0 0 0 81m 0.000054 8472.000000
