minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-76h6b 13123 13122 0 166 889m 0.020877 0.000000
1 cilium-r7nqf 1 0 0 0 80m 0.000041 43916.000000
2 cilium-76h6b 11825 11824 0 475 1243m 0.260307 9538.000000
2 cilium-r7nqf 1 0 0 0 79m 0.000069 43916.000000
3 cilium-76h6b 13806 13805 0 808 1276m 0.257743 15702.000000
3 cilium-r7nqf 1 0 0 0 86m 0.000204 43916.000000
4 cilium-76h6b 12432 12431 0 1150 1272m 0.144506 24646.000000
4 cilium-r7nqf 1 0 0 0 80m 0.000070 43916.000000
5 cilium-76h6b 12891 12890 0 1518 1253m 0.233039 31808.000000
5 cilium-r7nqf 1 0 0 0 80m 0.000078 43916.000000
6 cilium-76h6b 13042 13041 0 1866 1271m 0.138292 39043.000000
6 cilium-r7nqf 1 0 0 0 83m 0.000030 43916.000000
7 cilium-76h6b 13840 13839 0 2187 1265m 0.175184 46608.000000
7 cilium-r7nqf 1 0 0 0 87m 0.000050 43916.000000
8 cilium-76h6b 13738 13737 0 2613 1266m 0.129490 53719.000000
8 cilium-r7nqf 1 0 0 0 81m 0.000033 43916.000000
9 cilium-76h6b 14089 14088 0 2952 1267m 0.204388 61601.000000
9 cilium-r7nqf 1 0 0 0 80m 0.000059 43916.000000
10 cilium-76h6b 14553 14552 0 3296 1266m 0.206758 68594.000000
10 cilium-r7nqf 1 0 0 0 83m 0.000056 43916.000000
11 cilium-76h6b 13615 13614 0 3658 1262m 0.196168 76470.000000
11 cilium-r7nqf 1 0 0 0 81m 0.000050 43916.000000
