minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-gs8nm 15219 15218 0 2698 514m 0.027218 0.000000
1 cilium-qqd4p 1 0 0 0 71m 0.000078 53430.000000
2 cilium-gs8nm 19765 10435 9329 5201 1296m 0.969890 9339.000000
2 cilium-qqd4p 1 0 0 0 92m 0.000071 53430.000000
3 cilium-gs8nm 23695 5985 17709 7277 1222m 2.127070 27058.000000
3 cilium-qqd4p 1 0 0 0 68m 0.000051 53430.000000
4 cilium-gs8nm 26565 4754 21810 8921 1201m 2.919608 48877.000000
4 cilium-qqd4p 1 0 0 0 63m 0.000037 53430.000000
5 cilium-gs8nm 29140 4468 24671 10502 1182m 3.459207 73556.000000
5 cilium-qqd4p 1 0 0 0 62m 0.000113 53430.000000
6 cilium-gs8nm 31364 4098 27265 11843 1181m 4.236652 100829.000000
6 cilium-qqd4p 1 0 0 0 58m 0.000032 53430.000000
7 cilium-gs8nm 34336 4227 30108 13493 1162m 4.861527 130942.000000
7 cilium-qqd4p 1 0 0 0 61m 0.000062 53430.000000
8 cilium-gs8nm 36212 4205 32006 14799 1152m 5.487351 162954.000000
8 cilium-qqd4p 1 0 0 0 54m 0.000077 53430.000000
9 cilium-gs8nm 37898 1227 36670 15666 1197m 6.364723 197751.000000
9 cilium-qqd4p 1 0 0 0 55m 0.000041 53430.000000
10 cilium-gs8nm 39333 1346 37986 16574 1189m 7.821625 272385.000000
10 cilium-qqd4p 1 0 0 0 55m 0.000039 53430.000000
11 cilium-gs8nm 40559 1141 39417 17455 1178m 7.239089 311779.000000
11 cilium-qqd4p 1 0 0 0 57m 0.000067 53430.000000
