minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-5rkn5 13089 13088 0 193 598m 0.016611 18967.000000
1 cilium-q58wn 1 0 0 0 73m 0.000075 0.000000
2 cilium-5rkn5 17771 7316 10454 687 1259m 1.032405 29431.000000
2 cilium-q58wn 1 0 0 0 87m 0.000050 0.000000
3 cilium-5rkn5 21586 5690 15895 1183 1217m 1.994367 45336.000000
3 cilium-q58wn 1 0 0 0 69m 0.000037 0.000000
4 cilium-5rkn5 24737 4846 19890 1650 1193m 2.540485 65236.000000
4 cilium-q58wn 1 0 0 0 66m 0.000049 0.000000
5 cilium-5rkn5 27328 4165 23162 2086 1187m 3.335360 88408.000000
5 cilium-q58wn 1 0 0 0 66m 0.000050 0.000000
6 cilium-5rkn5 29453 3288 26164 2488 1195m 3.921153 114582.000000
6 cilium-q58wn 1 0 0 0 53m 0.000044 0.000000
7 cilium-5rkn5 31468 3157 28310 2889 1164m 4.419092 142902.000000
7 cilium-q58wn 1 0 0 0 56m 0.000019 0.000000
8 cilium-5rkn5 33360 3101 30258 3250 1185m 4.522170 173170.000000
8 cilium-q58wn 1 0 0 0 56m 0.000051 0.000000
9 cilium-5rkn5 34833 2690 32142 3598 1136m 5.272629 205322.000000
9 cilium-q58wn 1 0 0 0 55m 0.000032 0.000000
10 cilium-5rkn5 36176 2421 33754 3914 1165m 5.705458 239086.000000
10 cilium-q58wn 1 0 0 0 50m 0.000036 0.000000
11 cilium-5rkn5 37677 2537 35139 4265 1172m 6.038371 274235.000000
11 cilium-q58wn 1 0 0 0 52m 0.000026 0.000000
