minute agent cache lookup conn lockwarns cpu gcsec gcdels
1 cilium-m8rln 10282 10281 0 35 698m 0.005901 0.000000
1 cilium-v8md2 10779 10778 0 58 730m 0.003553 0.000000
2 cilium-m8rln 17413 11747 5665 4268 1292m 0.478433 5651.000000
2 cilium-v8md2 17723 12674 5048 4568 1303m 0.442703 5034.000000
3 cilium-m8rln 24008 9706 14301 8661 1225m 1.611539 19938.000000
3 cilium-v8md2 24219 9794 14424 8990 1229m 1.913252 19444.000000
4 cilium-m8rln 28421 7890 20530 12001 1218m 2.955910 40454.000000
4 cilium-v8md2 28529 8657 19871 12147 1193m 3.096813 39301.000000
5 cilium-m8rln 33092 6981 26110 15167 1195m 4.289019 66550.000000
5 cilium-v8md2 30629 1525 29103 13824 1190m 5.350452 93238.000000
6 cilium-m8rln 35586 1936 33649 16938 1193m 6.539022 129813.000000
6 cilium-v8md2 32647 1764 30882 15538 1151m 5.629856 124106.000000
7 cilium-m8rln 38655 2823 35831 19363 1175m 6.822772 165630.000000
7 cilium-v8md2 35083 2498 32584 17311 1183m 6.098024 156676.000000
8 cilium-m8rln 41091 2515 38575 21130 1173m 7.619400 204191.000000
8 cilium-v8md2 36781 2314 34466 18747 1159m 7.004340 191128.000000
9 cilium-m8rln 43753 3009 40743 23459 1176m 8.135238 244920.000000
9 cilium-v8md2 39136 1171 37964 20380 1184m 7.224845 227630.000000
10 cilium-m8rln 45699 1119 44579 24610 1154m 9.921252 331776.000000
10 cilium-v8md2 40320 899 39420 21434 1139m 7.810100 304986.000000
11 cilium-m8rln 46966 1013 45952 26025 1163m 9.618944 377714.000000
11 cilium-v8md2 42064 1535 40528 22988 1166m 8.401877 345500.000000
